time,user,collection_id,instance_index,cpus,ram,collection_type
600039738,KbGVjMgFfTOyQra357ittsSC7K6P2/uyRr/SL/e2Nto=,5857596155,0,0.00022029876708984375,0.00016307830810546875,0
600096553,KbGVjMgFfTOyQra357ittsSC7K6P2/uyRr/SL/e2Nto=,5857596155,3,0.00022029876708984375,0.00016307830810546875,0
607600308,KbGVjMgFfTOyQra357ittsSC7K6P2/uyRr/SL/e2Nto=,5857596155,1,0.00022029876708984375,0.00016307830810546875,0
607600310,KbGVjMgFfTOyQra357ittsSC7K6P2/uyRr/SL/e2Nto=,5857596155,2,0.00022029876708984375,0.00016307830810546875,0
607600314,KbGVjMgFfTOyQra357ittsSC7K6P2/uyRr/SL/e2Nto=,5857596155,4,0.00022029876708984375,0.00016307830810546875,0
600039749,+vjJyUGORmKQdUuf90l2gjk5vXU1PPeLXIA4QanTSYY=,332365212118,0,0.003345489501953125,0.00139617919921875,0
600988470,+vjJyUGORmKQdUuf90l2gjk5vXU1PPeLXIA4QanTSYY=,332365228391,0,0.011724853515625,0.002063751220703125,0
607938886,+vjJyUGORmKQdUuf90l2gjk5vXU1PPeLXIA4QanTSYY=,332365233153,0,0.00054680673699629943,0.0009584928813733554,0
607938887,+vjJyUGORmKQdUuf90l2gjk5vXU1PPeLXIA4QanTSYY=,332365233153,1,0.0013167732640316614,0.0021510877107319081,0
609962552,+vjJyUGORmKQdUuf90l2gjk5vXU1PPeLXIA4QanTSYY=,332365205199,0,0.00669097900390625,0.0035616556803385415,0
615634184,+vjJyUGORmKQdUuf90l2gjk5vXU1PPeLXIA4QanTSYY=,332365237202,0,0.00211334228515625,0.001313018798828125,0
616717331,+vjJyUGORmKQdUuf90l2gjk5vXU1PPeLXIA4QanTSYY=,332365237223,0,0.004296875,0.0014110565185546874,0
617134411,+vjJyUGORmKQdUuf90l2gjk5vXU1PPeLXIA4QanTSYY=,332365213305,0,0.001056671142578125,0.0007457733154296875,0
619124285,+vjJyUGORmKQdUuf90l2gjk5vXU1PPeLXIA4QanTSYY=,332365238352,0,0.001320648193359375,0.0013111114501953125,0
626240797,+vjJyUGORmKQdUuf90l2gjk5vXU1PPeLXIA4QanTSYY=,332365186110,0,0.001399993896484375,0.0010833740234375,0
600039759,jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,312413081814,814,0.0081024169921875,0.003612518310546875,0
600265366,jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,315268933980,793,0.00566864013671875,0.0015621185302734375,0
600276241,jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,312413081814,829,0.0081024169921875,0.003612518310546875,0
600276252,jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,312413081814,833,0.0081024169921875,0.003612518310546875,0
600298659,jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,315268933980,817,0.00566864013671875,0.0015621185302734375,0
600308632,jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,315268933980,853,0.00566864013671875,0.0015621185302734375,0
600308643,jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,312413081814,863,0.0081024169921875,0.003612518310546875,0
600308654,jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,315268933980,810,0.00566864013671875,0.0015621185302734375,0
600393679,jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,312413079942,190,0.0153961181640625,0.0056915283203125,0
600393700,jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,312413081814,860,0.0081024169921875,0.003612518310546875,0
600393722,jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,312413081814,846,0.0081024169921875,0.003612518310546875,0
600393733,jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,312413079942,191,0.0153961181640625,0.0056915283203125,0
600393760,jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,315268933980,784,0.00566864013671875,0.0015621185302734375,0
600393771,jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,315268933980,868,0.00566864013671875,0.0015621185302734375,0
600496991,jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,315268933980,847,0.00566864013671875,0.0015621185302734375,0
